"region_final","test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","BV_num","BV_num_LL","BV_num_UL","BY_num","BY_num_LL","BY_num_UL","flu_num","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","BV_num_roll","BV_num_roll_LL","BV_num_roll_UL","BY_num_roll","BY_num_roll_LL","BY_num_roll_UL","flu_num_roll","test_roll","diff"
"Japan/Korea",164,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-07-19,0,0,0,0,0,0,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,0,142.4,7
"Japan/Korea",137,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-07-26,0,0,0,0,0,0,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,0,133.4,7
"Japan/Korea",118,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-02,0,0,0,0,0,0,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,0,129.4,7
"Japan/Korea",114,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-09,0.2,0.2,0.2,0.2,0.2,0.2,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,0.4,132.2,7
"Japan/Korea",114,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-16,0.2,0.2,0.2,1,1,1,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,1.2,138.6,7
"Japan/Korea",178,1,1,1,1,1,1,0,0,0,0,0,0,2,2010-08-30,0.2,0.2,0.2,1.2,1.2,1.2,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,1.4,148.4,14
"Japan/Korea",169,0,0,0,4,4,4,0,0,0,0,0,0,4,2010-09-06,0.4,0.4,0.4,1.8,1.8,1.8,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,2.2,172.2,7
"Japan/Korea",167,0,0,0,1,1,1,0,0,0,0,0,0,1,2010-09-13,0.4,0.4,0.4,2,2,2,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,2.4,175,7
"Japan/Korea",233,1,1,1,3,3,3,0,0,0,0,0,0,4,2010-09-20,0.4,0.4,0.4,3.4,3.4,3.4,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,3.8,181.4,7
"Japan/Korea",128,0,0,0,1,1,1,0,0,0,0,0,0,1,2010-09-27,0.4,0.4,0.4,3,3,3,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,3.4,187,7
"Japan/Korea",210,1,1,1,8,8,8,0,0,0,0,0,0,9,2010-10-04,0.4,0.4,0.4,3.6,3.6,3.6,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,4,208,7
"Japan/Korea",197,0,0,0,2,2,2,0,0,0,0,0,0,2,2010-10-11,0.2,0.2,0.2,3,3,3,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,3.2,212,7
"Japan/Korea",272,0,0,0,4,4,4,0,0,0,0,0,0,4,2010-10-18,0.2,0.2,0.2,4,4,4,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,4.2,230.4,7
"Japan/Korea",253,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-10-25,0.2,0.2,0.2,4,4,4,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,4.2,236.4,7
