"test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","test_roll","diff"
36089,356.969945803246,316.66880900481,401.118684558197,3947.03005419675,3902.8813154418,3987.33119099519,2012-12-03,469.307849446101,420.817738452836,519.674112203109,3898.0921505539,3847.72588779689,3946.58226154716,35269.4,7
41072,596.398155930709,537.836966432401,654.923362535397,5751.60184406929,5693.0766374646,5810.1630335676,2012-12-10,651.921220605667,594.141550059689,711.228897689198,5049.87877939433,4990.5711023108,5107.65844994031,37059.8,7
38002,925.197420283605,856.13528726827,991.304999359844,5841.8025797164,5775.69500064016,5910.86471273173,2012-12-17,1049.33777022442,979.75037432097,1120.30689091161,6575.86222977558,6504.89310908839,6645.44962567903,40557.2,7
38222,1112.73767642813,1031.4552408716,1195.93622224587,7412.26232357187,7329.06377775413,7493.5447591284,2012-12-24,1628.51479958749,1548.40895942681,1709.14124831485,7872.08520041251,7791.45875168515,7952.19104057319,45327.4,7
49401,2255.38565267639,2156.65556802777,2358.25118585876,9926.61434732361,9823.74881414124,10025.3444319722,2012-12-31,2253.45371528283,2157.79816622281,2348.87104013099,8517.17961805051,8421.79833616754,8612.80124497056,49152.4,7
59940,3252.85509261863,3159.96173453402,3345.29047157437,10428.1449073814,10335.7095284256,10521.038265466,2013-01-07,2974.25356204291,2861.76246558484,3084.90884186642,8815.05906123126,8704.58979692324,8927.37722253007,53208,7
60197,3721.09273440737,3584.78300041241,3853.57232161611,8977.07393225929,8844.77455987655,9113.21405555448,2013-01-14,4100.51989761936,3964.58017829658,4227.14980494058,8341.7927256548,8215.34883384908,8477.55950981833,57281.2,7
58280,4529.19665408401,4375.95678407839,4671.49400803701,7331.19979562013,7189.65230441863,7483.74460052927,2013-01-21,4888.10546999046,4729.35904201254,5033.41741915202,7377.6071532837,7232.48121963764,7536.18064610237,58974.2,7
58588,6744.06935431038,6545.5438044303,6907.14103761662,5045.93064568963,4882.85896238338,5244.4561955697,2013-01-28,5430.83204316647,5240.8169207086,5606.77499881253,6146.88058010769,5971.12363997713,6336.72276740631,58450.6,7
57866,6193.31351453192,5980.54988660758,6389.58925691598,5105.68648546808,4909.41074308402,5318.45011339242,2013-02-04,5812.66218471824,5604.41293511325,6003.88151007905,5068.41710522259,4877.34775241208,5276.52734180828,57605.4,7
57322,5966.48795849866,5717.25112801431,6212.07836987694,4274.51204150134,4028.92163012306,4523.74887198569,2013-02-11,5934.05980426637,5703.7154268063,6145.90835942339,4293.74019573363,4081.89164057661,4524.0845731937,57048.2,7
55971,5630.24344216624,5402.76307243567,5839.10487794869,3584.75655783376,3375.89512205131,3812.23692756433,2013-02-18,5412.61543580986,5169.09541822958,5643.23949909249,3892.18456419014,3661.56050090751,4135.70458177042,55525,7
55494,5136.18475182465,4872.46924254364,5381.6282547587,3457.81524817535,3212.3717452413,3721.53075745636,2013-02-25,4804.06462990369,4554.87426995455,5041.27532884262,3399.93537009631,3162.72467115738,3649.12573004545,53536.6,7
50972,4136.84751202781,3872.44376154668,4393.79673596217,3038.15248797219,2781.20326403783,3302.55623845332,2013-03-04,4095.29635024135,3853.31759744801,4323.8194256762,2958.90364975865,2730.3805743238,3200.88240255199,50740.2,7
47924,3150.55948500108,2909.44414523244,3379.7684056666,2644.44051499892,2415.2315943334,2885.55585476756,2013-03-11,3298.37067128669,3073.93139895734,3512.38065966783,2555.82932871331,2341.81934033217,2780.26860104266,46601,7
43340,2422.646560187,2209.46776548161,2624.79885404483,2069.353439813,1867.20114595517,2282.53223451839,2013-03-18,2509.40818207147,2314.12925689805,2697.8913897139,2130.78551871593,1942.30301807459,2326.06392438156,42411,7
35275,1645.61504739289,1505.83207998234,1781.91104790685,1569.38495260711,1433.08895209315,1709.16792001766,2013-03-25,1944.57352938109,1783.19671040866,2099.71792275693,1743.61642608796,1588.47325246252,1904.99226559289,39135.6,7
34544,1191.37230574857,1073.4585322472,1309.18190498906,1332.59619818844,1214.79013395339,1450.50737415087,2013-04-01,1505.57464747977,1382.48746999601,1625.12801017715,1376.21530798927,1256.66316504231,1499.30150600554,35927,7
34595,1312.67424857591,1217.7810290997,1402.92940117734,1102.30702483233,1012.05443597749,1197.19794450999,2013-04-08,1202.2676405751,1114.63954196291,1288.65046405213,1064.31655357707,977.935615136306,1151.94309692565,33110.2,7
