"date","region","bv_seq"
2021-04-22,"Africa",3
2021-04-22,"Asia",15
2021-04-29,"Africa",5
2021-04-29,"Asia",15
2021-05-06,"Africa",2
2021-05-06,"Asia",15
2021-05-13,"Africa",4
2021-05-13,"Americas",2
2021-05-13,"Asia",11
2021-05-13,"Europe",1
2021-05-20,"Africa",6
2021-05-20,"Americas",1
2021-05-20,"Asia",16
2021-05-27,"Africa",5
2021-05-27,"Asia",32
2021-06-03,"Africa",7
2021-06-03,"Asia",38
2021-06-03,"Europe",1
2021-06-03,"Oceania",1
2021-06-10,"Africa",6
2021-06-10,"Americas",1
2021-06-10,"Asia",29
2021-06-17,"Africa",7
2021-06-17,"Asia",24
2021-06-24,"Africa",9
2021-06-24,"Asia",27
2021-07-01,"Africa",4
2021-07-01,"Asia",29
2021-07-08,"Africa",4
2021-07-08,"Asia",49
2021-07-08,"Europe",2
2021-07-15,"Africa",3
2021-07-15,"Americas",2
2021-07-15,"Asia",22
2021-07-22,"Africa",3
2021-07-22,"Asia",14
2021-07-29,"Africa",4
2021-07-29,"Asia",11
2021-07-29,"Europe",1
2021-07-29,"Oceania",1
2021-08-05,"Africa",2
2021-08-05,"Asia",43
2021-08-05,"Oceania",1
2021-08-12,"Africa",8
2021-08-12,"Asia",39
2021-08-19,"Africa",3
2021-08-19,"Asia",20
2021-08-19,"Europe",1
2021-08-26,"Africa",7
2021-08-26,"Asia",17
2021-08-26,"Oceania",1
2021-09-02,"Africa",11
2021-09-02,"Americas",1
2021-09-02,"Asia",25
2021-09-02,"Europe",1
2021-09-09,"Africa",8
2021-09-09,"Asia",30
2021-09-09,"Europe",1
2021-09-16,"Africa",16
2021-09-16,"Americas",2
2021-09-16,"Asia",40
2021-09-16,"Europe",2
2021-09-23,"Africa",17
2021-09-23,"Asia",25
2021-09-23,"Oceania",1
2021-09-30,"Africa",2
2021-09-30,"Americas",2
2021-09-30,"Asia",25
2021-09-30,"Oceania",1
2021-10-07,"Africa",8
2021-10-07,"Americas",4
2021-10-07,"Asia",22
2021-10-07,"Europe",2
2021-10-14,"Africa",4
2021-10-14,"Americas",3
2021-10-14,"Asia",23
2021-10-21,"Africa",6
