"date","region","h3n2_seq"
2019-11-21,"Oceania",4
2019-11-28,"Africa",7
2019-11-28,"Americas",55
2019-11-28,"Asia",65
2019-11-28,"Europe",165
2019-11-28,"Oceania",4
2019-12-05,"Africa",4
2019-12-05,"Americas",74
2019-12-05,"Asia",81
2019-12-05,"Europe",175
2019-12-05,"Oceania",1
2019-12-12,"Africa",1
2019-12-12,"Americas",76
2019-12-12,"Asia",61
2019-12-12,"Europe",211
2019-12-12,"Oceania",1
2019-12-19,"Africa",2
2019-12-19,"Americas",70
2019-12-19,"Asia",76
2019-12-19,"Europe",211
2019-12-19,"Oceania",8
2019-12-26,"Americas",61
2019-12-26,"Asia",39
2019-12-26,"Europe",139
2019-12-26,"Oceania",5
2020-01-02,"Africa",2
2020-01-02,"Americas",54
2020-01-02,"Asia",53
2020-01-02,"Europe",130
2020-01-02,"Oceania",2
2020-01-09,"Africa",4
2020-01-09,"Americas",67
2020-01-09,"Asia",54
2020-01-09,"Europe",147
2020-01-09,"Oceania",2
2020-01-16,"Africa",1
2020-01-16,"Americas",50
2020-01-16,"Asia",22
2020-01-16,"Europe",150
2020-01-16,"Oceania",6
2020-01-23,"Africa",6
2020-01-23,"Americas",54
2020-01-23,"Asia",29
2020-01-23,"Europe",105
2020-01-23,"Oceania",6
2020-01-30,"Africa",5
2020-01-30,"Americas",56
2020-01-30,"Asia",27
2020-01-30,"Europe",147
2020-01-30,"Oceania",2
2020-02-06,"Africa",10
2020-02-06,"Americas",48
2020-02-06,"Asia",37
2020-02-06,"Europe",120
2020-02-06,"Oceania",1
2020-02-13,"Africa",4
2020-02-13,"Americas",40
2020-02-13,"Asia",26
2020-02-13,"Europe",112
2020-02-13,"Oceania",6
2020-02-20,"Africa",1
2020-02-20,"Americas",29
2020-02-20,"Asia",19
2020-02-20,"Europe",94
2020-02-20,"Oceania",2
2020-02-27,"Africa",9
2020-02-27,"Americas",31
2020-02-27,"Asia",16
2020-02-27,"Europe",72
2020-02-27,"Oceania",2
2020-03-05,"Africa",18
2020-03-05,"Americas",38
2020-03-05,"Asia",27
2020-03-05,"Europe",66
2020-03-05,"Oceania",5
2020-03-12,"Africa",18
2020-03-12,"Americas",27
2020-03-12,"Asia",22
2020-03-12,"Europe",50
2020-03-12,"Oceania",3
2020-03-19,"Africa",6
2020-03-19,"Americas",10
2020-03-19,"Asia",17
2020-03-19,"Europe",21
2020-03-19,"Oceania",2
2020-03-26,"Africa",1
2020-03-26,"Americas",1
2020-03-26,"Asia",3
2020-03-26,"Europe",13
2020-03-26,"Oceania",1
2020-04-02,"Africa",1
2020-04-02,"Asia",2
2020-04-02,"Europe",2
2020-04-02,"Oceania",1
2020-04-09,"Americas",2
2020-04-16,"Asia",1
2020-05-14,"Asia",2
2020-06-11,"Asia",6
2020-07-02,"Asia",2
2020-07-16,"Asia",3
2020-07-16,"Oceania",1
2020-07-23,"Asia",8
2020-07-30,"Americas",1
2020-07-30,"Asia",3
2020-08-06,"Asia",2
2020-08-13,"Asia",3
2020-08-20,"Africa",2
2020-08-20,"Asia",13
2020-08-27,"Africa",1
2020-08-27,"Americas",1
2020-08-27,"Asia",2
2020-09-03,"Africa",1
2020-09-03,"Asia",29
2020-09-03,"Europe",1
2020-09-10,"Africa",2
2020-09-10,"Asia",21
2020-09-17,"Africa",3
2020-09-17,"Asia",27
2020-09-24,"Africa",1
2020-09-24,"Asia",25
2020-10-01,"Africa",3
2020-10-01,"Americas",1
2020-10-01,"Asia",16
2020-10-08,"Africa",2
2020-10-08,"Asia",24
2020-10-15,"Africa",4
2020-10-15,"Americas",2
2020-10-15,"Asia",8
2020-10-22,"Africa",2
2020-10-22,"Asia",9
2020-10-22,"Europe",2
2020-10-29,"Africa",1
2020-10-29,"Asia",9
2020-11-05,"Africa",5
2020-11-12,"Africa",3
2020-11-12,"Asia",7
2020-11-19,"Africa",7
2020-11-19,"Americas",3
2020-11-19,"Asia",3
2020-11-26,"Africa",6
2020-11-26,"Asia",3
2020-12-03,"Africa",1
2020-12-03,"Asia",1
2020-12-10,"Africa",1
2020-12-10,"Asia",6
2020-12-17,"Africa",4
2020-12-17,"Asia",1
2020-12-24,"Africa",1
2020-12-24,"Asia",3
2020-12-24,"Oceania",2
2020-12-31,"Africa",1
2020-12-31,"Americas",1
2020-12-31,"Asia",5
2020-12-31,"Europe",2
2021-01-07,"Africa",5
2021-01-07,"Americas",2
2021-01-07,"Asia",5
2021-01-07,"Europe",1
2021-01-14,"Africa",5
2021-01-14,"Asia",9
2021-01-21,"Africa",4
2021-01-21,"Americas",1
2021-01-21,"Asia",1
2021-01-21,"Europe",1
2021-01-28,"Africa",4
2021-01-28,"Asia",1
2021-02-04,"Africa",3
2021-02-04,"Asia",5
2021-02-11,"Africa",12
2021-02-11,"Asia",8
2021-02-18,"Africa",6
2021-02-18,"Asia",5
2021-02-18,"Europe",2
2021-02-18,"Oceania",2
2021-02-25,"Africa",7
2021-02-25,"Asia",4
2021-02-25,"Oceania",2
2021-03-04,"Africa",5
2021-03-04,"Asia",10
2021-03-04,"Oceania",3
2021-03-11,"Africa",3
2021-03-11,"Asia",11
2021-03-11,"Europe",1
2021-03-18,"Africa",6
2021-03-18,"Americas",1
2021-03-18,"Asia",6
2021-03-18,"Oceania",7
2021-03-25,"Africa",4
2021-03-25,"Asia",7
2021-04-01,"Africa",3
2021-04-01,"Asia",12
2021-04-01,"Oceania",1
2021-04-08,"Africa",4
2021-04-08,"Asia",8
2021-04-15,"Americas",2
2021-04-15,"Asia",8
2021-04-15,"Europe",3
2021-04-15,"Oceania",2
2021-04-22,"Africa",2
2021-04-22,"Asia",5
2021-04-22,"Europe",1
2021-04-22,"Oceania",2
2021-04-29,"Africa",2
2021-05-06,"Asia",2
2021-05-06,"Europe",1
2021-05-13,"Asia",3
2021-05-20,"Africa",1
2021-05-20,"Asia",2
2021-05-27,"Asia",1
2021-06-03,"Africa",2
2021-06-03,"Asia",3
2021-06-10,"Africa",2
2021-06-17,"Africa",4
2021-06-17,"Americas",1
2021-06-17,"Asia",5
2021-06-24,"Africa",2
2021-06-24,"Asia",14
2021-07-01,"Africa",5
2021-07-01,"Asia",5
2021-07-08,"Africa",4
2021-07-08,"Americas",2
2021-07-08,"Asia",8
2021-07-08,"Europe",1
2021-07-15,"Africa",5
2021-07-15,"Americas",3
2021-07-15,"Asia",3
2021-07-15,"Oceania",1
2021-07-22,"Asia",3
2021-07-22,"Europe",1
2021-07-29,"Africa",2
2021-07-29,"Asia",16
2021-07-29,"Europe",1
2021-08-05,"Africa",2
2021-08-05,"Americas",3
2021-08-05,"Asia",17
2021-08-05,"Europe",11
2021-08-12,"Africa",5
2021-08-12,"Americas",1
2021-08-12,"Asia",34
