,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[44],-0.054,0.426,-0.733,0.656,0.003,0.005,17931.0,5815.0,1.0
mu[45],-0.292,0.244,-0.681,0.111,0.002,0.002,20199.0,5478.0,1.0
mu[46],-0.218,0.204,-0.565,0.103,0.001,0.002,20538.0,5177.0,1.0
mu[47],-0.027,0.522,-0.877,0.842,0.004,0.007,18159.0,5709.0,1.0
mu[48],-0.314,0.383,-0.973,0.278,0.003,0.004,18301.0,4702.0,1.0
mu[49],-0.19,0.366,-0.812,0.38,0.003,0.004,18609.0,5590.0,1.0
mu[50],-0.238,0.414,-0.927,0.423,0.003,0.004,20067.0,5399.0,1.0
mu[51],-0.038,0.35,-0.59,0.562,0.003,0.005,17942.0,5057.0,1.0
mu[52],-0.117,0.464,-0.872,0.663,0.003,0.005,18298.0,6087.0,1.0
mu[53],-0.191,0.195,-0.503,0.126,0.002,0.002,16253.0,5628.0,1.0
mu[54],-0.119,0.24,-0.521,0.27,0.002,0.003,17534.0,5303.0,1.0
mu[55],-0.335,0.291,-0.805,0.147,0.002,0.002,17263.0,5702.0,1.0
mu[56],-0.331,0.45,-1.057,0.419,0.003,0.004,19542.0,5630.0,1.0
mu[57],0.164,0.472,-0.626,0.912,0.004,0.006,18149.0,5575.0,1.0
mu[58],-0.061,0.333,-0.58,0.515,0.003,0.004,16401.0,5877.0,1.0
mu[59],-0.193,0.206,-0.528,0.144,0.002,0.002,17246.0,4882.0,1.0
mu[60],-0.111,0.383,-0.707,0.539,0.003,0.005,17236.0,5935.0,1.0
mu[61],-0.317,0.452,-1.07,0.419,0.003,0.005,17555.0,5470.0,1.0
mu[62],-0.28,0.222,-0.636,0.083,0.002,0.002,17972.0,6094.0,1.0
mu[63],-0.1,0.424,-0.802,0.601,0.003,0.005,18881.0,5280.0,1.0
mu[64],-0.328,0.327,-0.844,0.221,0.002,0.003,17780.0,5321.0,1.0
mu[65],-0.057,0.278,-0.526,0.392,0.002,0.003,19156.0,5587.0,1.0
mu[66],-0.151,0.214,-0.493,0.21,0.002,0.002,17851.0,5669.0,1.0
mu[67],-0.179,0.201,-0.498,0.153,0.001,0.002,20793.0,6080.0,1.0
mu[68],-0.079,0.247,-0.503,0.308,0.002,0.003,17496.0,5081.0,1.0
