period,region_final_dep,region_final_arr,Num_month,Num,Num_per_month
Period 4,Japan/Korea,Oceania,9,1174174,130463.8
Period 4,Japan/Korea,Russia,9,81437,9048.6
Period 4,Japan/Korea,South America,9,140664,15629.3
Period 4,Japan/Korea,South China,9,11751088,1305676.4
Period 4,Japan/Korea,South-eastern Asia,9,12447895,1383099.4
Period 4,Japan/Korea,Southern Asia,9,700297,77810.8
Period 4,Japan/Korea,Western Asia,9,469590,52176.7
Period 4,North America,Africa,9,2393694,265966
Period 4,North America,Europe,9,28828304,3203144.9
Period 4,North America,Japan/Korea,9,4151461,461273.4
Period 4,North America,North America,,NA,NA
Period 4,North America,North China,9,390116,43346.2
Period 4,North America,Oceania,9,1572025,174669.4
Period 4,North America,Russia,9,71844,7982.7
Period 4,North America,South America,9,6564535,729392.8
Period 4,North America,South China,9,2314666,257185.1
Period 4,North America,South-eastern Asia,9,3165919,351768.8
Period 4,North America,Southern Asia,9,3552443,394715.9
Period 4,North America,Western Asia,9,3662063,406895.9
Period 4,North China,Africa,9,202630,22514.4
Period 4,North China,Europe,9,949482,105498
Period 4,North China,Japan/Korea,9,2951859,327984.3
Period 4,North China,North America,9,438316,48701.8
Period 4,North China,North China,,NA,NA
Period 4,North China,Oceania,9,387765,43085
Period 4,North China,Russia,9,264164,29351.6
Period 4,North China,South America,9,35618,3957.6
Period 4,North China,South China,9,95070820,10563424.4
Period 4,North China,South-eastern Asia,9,2261943,251327
Period 4,North China,Southern Asia,9,232037,25781.9
Period 4,North China,Western Asia,9,368092,40899.1
Period 4,Oceania,Africa,9,233620,25957.8
Period 4,Oceania,Europe,9,2085334,231703.8
Period 4,Oceania,Japan/Korea,9,1191600,132400
Period 4,Oceania,North America,9,1628010,180890
Period 4,Oceania,North China,9,354107,39345.2
Period 4,Oceania,Oceania,,NA,NA
Period 4,Oceania,Russia,9,16483,1831.4
Period 4,Oceania,South America,9,134459,14939.9
Period 4,Oceania,South China,9,1357087,150787.4
Period 4,Oceania,South-eastern Asia,9,4129023,458780.3
Period 4,Oceania,Southern Asia,9,1026439,114048.8
Period 4,Oceania,Western Asia,9,472187,52465.2
Period 4,Russia,Africa,9,664417,73824.1
Period 4,Russia,Europe,9,1058824,117647.1
Period 4,Russia,Japan/Korea,9,81473,9052.6
Period 4,Russia,North America,9,66247,7360.8
Period 4,Russia,North China,9,255153,28350.3
Period 4,Russia,Oceania,9,19499,2166.6
Period 4,Russia,Russia,,NA,NA
Period 4,Russia,South America,9,22406,2489.6
Period 4,Russia,South China,9,335142,37238
Period 4,Russia,South-eastern Asia,9,714879,79431
Period 4,Russia,Southern Asia,9,402213,44690.3
Period 4,Russia,Western Asia,9,5644942,627215.8
Period 4,South America,Africa,9,132790,14754.4
Period 4,South America,Europe,9,5515853,612872.6
Period 4,South America,Japan/Korea,9,141391,15710.1
Period 4,South America,North America,9,7041108,782345.3
Period 4,South America,North China,9,34457,3828.6
Period 4,South America,Oceania,9,138248,15360.9
Period 4,South America,Russia,9,22600,2511.1
Period 4,South America,South America,,NA,NA
Period 4,South America,South China,9,116385,12931.7
Period 4,South America,South-eastern Asia,9,84811,9423.4
Period 4,South America,Southern Asia,9,62751,6972.3
Period 4,South America,Western Asia,9,346654,38517.1
Period 4,South China,Africa,9,615990,68443.3
Period 4,South China,Europe,9,3386018,376224.2
Period 4,South China,Japan/Korea,9,11643414,1293712.7
Period 4,South China,North America,9,2326472,258496.9
Period 4,South China,North China,9,95723330,10635925.6
Period 4,South China,Oceania,9,1308705,145411.7
Period 4,South China,Russia,9,335977,37330.8
Period 4,South China,South America,9,131153,14572.6
Period 4,South China,South China,,NA,NA
Period 4,South China,South-eastern Asia,9,14849939,1649993.2
Period 4,South China,Southern Asia,9,855419,95046.6
Period 4,South China,Western Asia,9,880916,97879.6
Period 4,South-eastern Asia,Africa,9,534960,59440
Period 4,South-eastern Asia,Europe,9,5835360,648373.3
Period 4,South-eastern Asia,Japan/Korea,9,12398762,1377640.2
Period 4,South-eastern Asia,North America,9,3304923,367213.7
Period 4,South-eastern Asia,North China,9,2195576,243952.9
Period 4,South-eastern Asia,Oceania,9,4321347,480149.7
Period 4,South-eastern Asia,Russia,9,693924,77102.7
Period 4,South-eastern Asia,South America,9,90760,10084.4
Period 4,South-eastern Asia,South China,9,14786252,1642916.9
Period 4,South-eastern Asia,South-eastern Asia,,NA,NA
Period 4,South-eastern Asia,Southern Asia,9,5597779,621975.4
Period 4,South-eastern Asia,Western Asia,9,4249192,472132.4
Period 4,Southern Asia,Africa,9,1110170,123352.2
Period 4,Southern Asia,Europe,9,6349730,705525.6
Period 4,Southern Asia,Japan/Korea,9,676837,75204.1
Period 4,Southern Asia,North America,9,3839695,426632.8
